AOU_Code,AcceptedTSN,Admin_Sheet,Admin_Unit_Code,Common_Name,Date,Distance,Disturbance,End_Time,Flyover_Observed,Habitat,Humidity,ID_Method,Initial_Three_Min_Cnt,Interval_Length,Location_Type,NPSTaxonCode,Observer,PIF_Watchlist_Status,Plot_Name,Regional_Stewardship_Status,Scientific_Name,Sex,Site_Name,Sky,Start_Time,Sub_Unit_Code,Temperature,Visit,Wind,Year
EATO,179276.0,ANTI,ANTI,Eastern Towhee,2018-05-22,<= 50 Meters,No effect on count,06:29:00,False,Forest,79.4000015258789,Singing,True,0-2.5 min,Forest,83803.0,Elizabeth Oswald,False,ANTI-0036,True,Pipilo erythrophthalmus,Undetermined,ANTI 1,Cloudy/Overcast,06:19:00,,19.8999996185303,1,Calm (< 1 mph) smoke rises vertically,2018
WBNU,178775.0,ANTI,ANTI,White-breasted Nuthatch,2018-05-22,<= 50 Meters,No effect on count,06:29:00,False,Forest,79.4000015258789,Calling,True,0-2.5 min,Forest,90935.0,Elizabeth Oswald,False,ANTI-0036,False,Sitta carolinensis,,ANTI 1,Cloudy/Overcast,06:19:00,,19.8999996185303,1,Calm (< 1 mph) smoke rises vertically,2018
RBWO,178195.0,ANTI,ANTI,Red-bellied Woodpecker,2018-05-22,50 - 100 Meters,No effect on count,06:29:00,False,Forest,79.4000015258789,Calling,False,2.5 - 5 min,Forest,84865.0,Elizabeth Oswald,False,ANTI-0036,False,Melanerpes carolinus,,ANTI 1,Cloudy/Overcast,06:19:00,,19.8999996185303,1,Calm (< 1 mph) smoke rises vertically,2018
OROR,179064.0,ANTI,ANTI,Orchard Oriole,2018-05-22,<= 50 Meters,No effect on count,06:29:00,False,Forest,79.4000015258789,Singing,False,2.5 - 5 min,Forest,93634.0,Elizabeth Oswald,False,ANTI-0036,False,Icterus spurius,,ANTI 1,Cloudy/Overcast,06:19:00,,19.8999996185303,1,Calm (< 1 mph) smoke rises vertically,2018
NOMO,178620.0,ANTI,ANTI,Northern Mockingbird,2018-05-22,<= 50 Meters,No effect on count,06:29:00,False,Forest,79.4000015258789,Visualization,False,2.5 - 5 min,Forest,88394.0,Elizabeth Oswald,False,ANTI-0036,False,Mimus polyglottos,,ANTI 1,Cloudy/Overcast,06:19:00,,19.8999996185303,1,Calm (< 1 mph) smoke rises vertically,2018
NOCA,179124.0,ANTI,ANTI,Northern Cardinal,2018-05-22,<= 50 Meters,No effect on count,06:29:00,False,Forest,79.4000015258789,Singing,False,5 - 7.5 min,Forest,94228.0,Elizabeth Oswald,False,ANTI-0036,False,Cardinalis cardinalis,,ANTI 1,Cloudy/Overcast,06:19:00,,19.8999996185303,1,Calm (< 1 mph) smoke rises vertically,2018
NOCA,179124.0,ANTI,ANTI,Northern Cardinal,2018-05-22,50 - 100 Meters,No effect on count,06:29:00,False,Forest,79.4000015258789,Singing,True,0-2.5 min,Forest,94228.0,Elizabeth Oswald,False,ANTI-0036,False,Cardinalis cardinalis,,ANTI 1,Cloudy/Overcast,06:19:00,,19.8999996185303,1,Calm (< 1 mph) smoke rises vertically,2018
HOLA,554256.0,ANTI,ANTI,Horned Lark,2018-05-22,<= 50 Meters,No effect on count,06:29:00,False,Forest,79.4000015258789,Singing,True,0-2.5 min,Forest,264079.0,Elizabeth Oswald,False,ANTI-0036,False,Eremophila alpestris,,ANTI 1,Cloudy/Overcast,06:19:00,,19.8999996185303,1,Calm (< 1 mph) smoke rises vertically,2018
MODO,177125.0,ANTI,ANTI,Mourning Dove,2018-05-22,<= 50 Meters,No effect on count,06:29:00,False,Forest,79.4000015258789,Singing,True,0-2.5 min,Forest,82737.0,Elizabeth Oswald,False,ANTI-0036,False,Zenaida macroura,,ANTI 1,Cloudy/Overcast,06:19:00,,19.8999996185303,1,Calm (< 1 mph) smoke rises vertically,2018
FISP,179443.0,ANTI,ANTI,Field Sparrow,2018-05-22,<= 50 Meters,No effect on count,06:29:00,False,Forest,79.4000015258789,Singing,False,5 - 7.5 min,Forest,84790.0,Elizabeth Oswald,False,ANTI-0036,True,Spizella pusilla,Undetermined,ANTI 1,Cloudy/Overcast,06:19:00,,19.8999996185303,1,Calm (< 1 mph) smoke rises vertically,2018
CARW,178581.0,ANTI,ANTI,Carolina Wren,2018-05-22,<= 50 Meters,No effect on count,06:29:00,False,Forest,79.4000015258789,Singing,True,0-2.5 min,Forest,88350.0,Elizabeth Oswald,False,ANTI-0036,False,Thryothorus ludovicianus,,ANTI 1,Cloudy/Overcast,06:19:00,,19.8999996185303,1,Calm (< 1 mph) smoke rises vertically,2018
CACH,554383.0,ANTI,ANTI,Carolina Chickadee,2018-05-22,<= 50 Meters,No effect on count,06:29:00,False,Forest,79.4000015258789,Visualization,False,7.5 - 10 min,Forest,265876.0,Elizabeth Oswald,False,ANTI-0036,True,Poecile carolinensis,,ANTI 1,Cloudy/Overcast,06:19:00,,19.8999996185303,1,Calm (< 1 mph) smoke rises vertically,2018
EAWP,178359.0,ANTI,ANTI,Eastern Wood-Pewee,2018-05-22,50 - 100 Meters,No effect on count,06:29:00,False,Forest,79.4000015258789,Singing,True,0-2.5 min,Forest,85846.0,Elizabeth Oswald,False,ANTI-0036,True,Contopus virens,Undetermined,ANTI 1,Cloudy/Overcast,06:19:00,,19.8999996185303,1,Calm (< 1 mph) smoke rises vertically,2018
AMCR,179731.0,ANTI,ANTI,American Crow,2018-05-22,50 - 100 Meters,No effect on count,06:29:00,False,Forest,79.4000015258789,Calling,False,2.5 - 5 min,Forest,87106.0,Elizabeth Oswald,False,ANTI-0036,False,Corvus brachyrhynchos,,ANTI 1,Cloudy/Overcast,06:19:00,,19.8999996185303,1,Calm (< 1 mph) smoke rises vertically,2018
INBU,179150.0,ANTI,ANTI,Indigo Bunting,2018-05-22,<= 50 Meters,No effect on count,06:29:00,False,Forest,79.4000015258789,Singing,True,0-2.5 min,Forest,94257.0,Elizabeth Oswald,False,ANTI-0036,True,Passerina cyanea,Undetermined,ANTI 1,Cloudy/Overcast,06:19:00,,19.8999996185303,1,Calm (< 1 mph) smoke rises vertically,2018
ETTI,554138.0,ANTI,ANTI,Eastern Tufted Titmouse,2018-05-22,<= 50 Meters,No effect on count,06:29:00,False,Forest,79.4000015258789,Singing,False,2.5 - 5 min,Forest,266957.0,Elizabeth Oswald,False,ANTI-0036,False,Baeolophus bicolor,,ANTI 1,Cloudy/Overcast,06:19:00,,19.8999996185303,1,Calm (< 1 mph) smoke rises vertically,2018
YEWA,950039.0,ANTI,ANTI,Yellow Warbler,2018-05-22,<= 50 Meters,No effect on count,06:29:00,False,Forest,79.4000015258789,Singing,False,7.5 - 10 min,Forest,773778.0,Elizabeth Oswald,False,ANTI-0036,False,Setophaga petechia,Undetermined,ANTI 1,Cloudy/Overcast,06:19:00,,19.8999996185303,1,Calm (< 1 mph) smoke rises vertically,2018
MODO,177125.0,ANTI,ANTI,Mourning Dove,2018-05-22,<= 50 Meters,No effect on count,06:29:00,False,Forest,79.4000015258789,Visualization,False,2.5 - 5 min,Forest,82737.0,Elizabeth Oswald,False,ANTI-0036,False,Zenaida macroura,,ANTI 1,Cloudy/Overcast,06:19:00,,19.8999996185303,1,Calm (< 1 mph) smoke rises vertically,2018
FISP,179443.0,ANTI,ANTI,Field Sparrow,2018-05-22,<= 50 Meters,No effect on count,06:29:00,False,Forest,79.4000015258789,Singing,False,2.5 - 5 min,Forest,84790.0,Elizabeth Oswald,False,ANTI-0036,True,Spizella pusilla,Undetermined,ANTI 1,Cloudy/Overcast,06:19:00,,19.8999996185303,1,Calm (< 1 mph) smoke rises vertically,2018
RBWO,178195.0,ANTI,ANTI,Red-bellied Woodpecker,2018-05-22,50 - 100 Meters,No effect on count,06:12:00,False,Forest,72.1999969482422,Calling,False,5 - 7.5 min,Forest,84865.0,Kimberly Serno,False,ANTI-0082,False,Melanerpes carolinus,,ANTI 1,Cloudy/Overcast,06:02:00,,20.7999992370605,1,Calm (< 1 mph) smoke rises vertically,2018
ETTI,554138.0,ANTI,ANTI,Eastern Tufted Titmouse,2018-05-22,50 - 100 Meters,No effect on count,06:12:00,False,Forest,72.1999969482422,Singing,False,7.5 - 10 min,Forest,266957.0,Kimberly Serno,False,ANTI-0082,False,Baeolophus bicolor,Undetermined,ANTI 1,Cloudy/Overcast,06:02:00,,20.7999992370605,1,Calm (< 1 mph) smoke rises vertically,2018
ETTI,554138.0,ANTI,ANTI,Eastern Tufted Titmouse,2018-05-22,<= 50 Meters,No effect on count,06:12:00,False,Forest,72.1999969482422,Singing,True,0-2.5 min,Forest,266957.0,Kimberly Serno,False,ANTI-0082,False,Baeolophus bicolor,Undetermined,ANTI 1,Cloudy/Overcast,06:02:00,,20.7999992370605,1,Calm (< 1 mph) smoke rises vertically,2018
EABL,179801.0,ANTI,ANTI,Eastern Bluebird,2018-05-22,<= 50 Meters,No effect on count,06:12:00,False,Forest,72.1999969482422,Singing,True,0-2.5 min,Forest,87184.0,Kimberly Serno,False,ANTI-0082,False,Sialia sialis,,ANTI 1,Cloudy/Overcast,06:02:00,,20.7999992370605,1,Calm (< 1 mph) smoke rises vertically,2018
DOWO,178259.0,ANTI,ANTI,Downy Woodpecker,2018-05-22,<= 50 Meters,No effect on count,06:12:00,False,Forest,72.1999969482422,Calling,True,0-2.5 min,Forest,84936.0,Kimberly Serno,False,ANTI-0082,True,Picoides pubescens,,ANTI 1,Cloudy/Overcast,06:02:00,,20.7999992370605,1,Calm (< 1 mph) smoke rises vertically,2018
CHSP,179435.0,ANTI,ANTI,Chipping Sparrow,2018-05-22,50 - 100 Meters,No effect on count,06:12:00,False,Forest,72.1999969482422,Singing,True,0-2.5 min,Forest,84781.0,Kimberly Serno,False,ANTI-0082,False,Spizella passerina,Undetermined,ANTI 1,Cloudy/Overcast,06:02:00,,20.7999992370605,1,Calm (< 1 mph) smoke rises vertically,2018
CARW,178581.0,ANTI,ANTI,Carolina Wren,2018-05-22,<= 50 Meters,No effect on count,06:12:00,False,Forest,72.1999969482422,Singing,False,2.5 - 5 min,Forest,88350.0,Kimberly Serno,False,ANTI-0082,False,Thryothorus ludovicianus,,ANTI 1,Cloudy/Overcast,06:02:00,,20.7999992370605,1,Calm (< 1 mph) smoke rises vertically,2018
CARW,178581.0,ANTI,ANTI,Carolina Wren,2018-05-22,50 - 100 Meters,No effect on count,06:12:00,False,Forest,72.1999969482422,Calling,True,0-2.5 min,Forest,88350.0,Kimberly Serno,False,ANTI-0082,False,Thryothorus ludovicianus,,ANTI 1,Cloudy/Overcast,06:02:00,,20.7999992370605,1,Calm (< 1 mph) smoke rises vertically,2018
BAOR,179083.0,ANTI,ANTI,Baltimore Oriole,2018-05-22,<= 50 Meters,No effect on count,06:12:00,False,Forest,72.1999969482422,Singing,False,7.5 - 10 min,Forest,93655.0,Kimberly Serno,False,ANTI-0082,False,Icterus galbula,,ANTI 1,Cloudy/Overcast,06:02:00,,20.7999992370605,1,Calm (< 1 mph) smoke rises vertically,2018
NOCA,179124.0,ANTI,ANTI,Northern Cardinal,2018-05-22,50 - 100 Meters,No effect on count,06:12:00,False,Forest,72.1999969482422,Singing,True,0-2.5 min,Forest,94228.0,Kimberly Serno,False,ANTI-0082,False,Cardinalis cardinalis,,ANTI 1,Cloudy/Overcast,06:02:00,,20.7999992370605,1,Calm (< 1 mph) smoke rises vertically,2018
GCFL,178309.0,ANTI,ANTI,Great Crested Flycatcher,2018-05-22,50 - 100 Meters,No effect on count,06:12:00,False,Forest,72.1999969482422,Calling,False,2.5 - 5 min,Forest,85791.0,Kimberly Serno,False,ANTI-0082,False,Myiarchus crinitus,,ANTI 1,Cloudy/Overcast,06:02:00,,20.7999992370605,1,Calm (< 1 mph) smoke rises vertically,2018
EAWP,178359.0,ANTI,ANTI,Eastern Wood-Pewee,2018-05-22,50 - 100 Meters,No effect on count,07:31:00,False,Forest,75.8000030517578,Singing,False,2.5 - 5 min,Forest,85846.0,Kimberly Serno,False,ANTI-0078,True,Contopus virens,Undetermined,ANTI 1,Mist/Drizzle,07:21:00,,21.7000007629395,1,Light air movement (1-3 mph) smoke drifts,2018
